mutate,num_generations,min fitness,avg fitness
0.0,10000,57,57.0
0.01,489,0,2.8
0.02,216,0,1.34
0.03,308,0,5.63
0.04,152,0,0.97
0.05,104,0,0.95
0.06,3,0,99.37
0.07,278,0,4.97
0.08,32,0,7.47
0.09,104,0,2.28
0.1,19,0,3.51
0.11,41,0,7.63
0.12,3,0,120.41
0.13,35,0,10.92
0.14,5,0,34.44
0.15,27,0,10.77
0.16,30,0,12.02
0.17,25,0,5.23
0.18,62,0,4.87
0.19,30,0,5.07
0.2,45,0,9.98
0.21,4,0,73.17
0.22,11,0,23.62
0.23,10,0,13.96
0.24,30,0,15.87
0.25,29,0,12.46
0.26,18,0,6.61
0.27,27,0,13.27
0.28,40,0,28.23
0.29,20,0,13.32
0.3,17,0,12.18
0.31,14,0,12.85
0.32,9,0,11.7
0.33,31,0,9.86
0.34,12,0,20.68
0.35,8,0,33.35
0.36,27,0,25.85
0.37,14,0,22.0
0.38,23,0,20.81
0.39,4,0,32.06
0.4,16,0,21.16
0.41,8,0,23.44
0.42,8,0,29.93
0.43,17,0,34.24
0.44,21,0,42.73
0.45,17,0,31.26
0.46,29,0,15.08
0.47,9,0,30.64
0.48,8,0,16.98
0.49,12,0,39.1
0.5,19,0,41.14
0.51,17,0,22.41
0.52,13,0,35.49
0.53,9,0,37.97
0.54,4,0,65.32
0.55,26,0,23.42
0.56,11,0,28.21
0.57,14,0,21.91
0.58,15,0,18.45
0.59,17,0,27.26
0.6,10,0,48.95
0.61,8,0,25.27
0.62,8,0,44.01
0.63,11,0,34.69
0.64,9,0,60.85
0.65,8,0,65.8
0.66,13,0,40.77
0.67,7,0,44.14
0.68,13,0,37.83
0.69,15,0,26.22
0.7,20,0,26.18
0.71,8,0,54.95
0.72,8,0,35.94
0.73,10,0,45.32
0.74,10,0,43.01
0.75,7,0,24.38
0.76,15,0,32.84
0.77,14,0,29.36
0.78,8,0,48.69
0.79,12,0,41.51
0.8,8,0,51.1
0.81,12,0,35.73
0.82,9,0,36.03
0.83,14,0,41.14
0.84,8,0,35.96
0.85,8,0,51.65
0.86,9,0,58.13
0.87,8,0,33.96
0.88,9,0,49.16
0.89,11,0,43.78
0.9,10,0,48.93
0.91,8,0,70.29
0.92,11,0,53.93
0.93,13,0,46.51
0.94,10,0,58.29
0.95,10,0,41.9
0.96,8,0,50.78
0.97,10,0,63.02
0.98,8,0,63.95
0.99,9,0,52.07
1,15,0,52.76
