population_count,mutation,num_generations,min fitness,avg fitness
10000,0.1,58,0.0,1826928820.49574
10000,0.11,36,0.0,1715522634.13959
10000,0.12,49,0.0,1393718710.835091
10000,0.13,57,0.0,2861326629.620775
10000,0.14,44,0.0,3372405601.8061557
10000,0.15,30,0.0,2524960724.842561
10000,0.16,41,0.0,3048787953.177717
10000,0.17,24,0.0,2929875258.2993217
10000,0.18,33,0.0,3293399674.262664
10000,0.19,33,0.0,3060494442.6280193
10000,0.2,40,0.0,3968888688.8468795
10000,0.21,38,0.0,4138558411.8821526
10000,0.22,40,0.0,4051227318.496817
10000,0.23,41,0.0,4538313641.909843
10000,0.24,34,0.0,3956746139.8080688
10000,0.25,29,0.0,4148614299.77973
10000,0.26,32,0.0,5035337001.990588
10000,0.27,36,0.0,6194151319.767972
10000,0.28,32,0.0,5105714300.75241
10000,0.29,31,0.0,5617423324.04225
10000,0.3,34,0.0,5043508319.34165
10000,0.31,40,0.0,5840743159.446449
10000,0.32,35,0.0,6424121239.404656
10000,0.33,41,0.0,5292395880.711506
10000,0.34,28,0.0,6055024862.043814
10000,0.35,30,0.0,7279862041.276369
10000,0.36,29,0.0,7968874349.236517
10000,0.37,33,0.0,6620750691.599274
10000,0.38,31,0.0,7288160438.54722
10000,0.39,32,0.0,7211032565.9743185
10000,0.4,25,0.0,7578244247.509159
10000,0.41,26,0.0,7600999175.539553
10000,0.42,32,0.0,8339103326.726236
10000,0.43,35,0.0,8481311628.106213
10000,0.44,27,0.0,8272485163.988736
10000,0.45,34,0.0,8860031138.147795
10000,0.46,23,0.0,7868066060.673491
10000,0.47,37,0.0,9690841294.386047
10000,0.48,27,0.0,10093092564.612175
10000,0.49,24,0.0,9311062728.28373
10000,0.5,28,0.0,9227277642.809208
10000,0.51,30,0.0,9926345736.906109
10000,0.52,30,0.0,9122874978.744522
10000,0.53,25,0.0,10172901706.947401
10000,0.54,30,0.0,10081939745.93742
10000,0.55,35,0.0,9448128747.066414
10000,0.56,26,0.0,9409599417.67685
10000,0.57,31,0.0,9820113121.475246
10000,0.58,25,0.0,11491561612.717789
10000,0.59,31,0.0,11524443274.229427
10000,0.6,36,0.0,11097419532.208258
10000,0.61,32,0.0,11089266140.083141
10000,0.62,34,0.0,11518072646.932854
10000,0.63,28,0.0,11124971850.863947
10000,0.64,37,0.0,10473029129.73635
10000,0.65,28,0.0,10282087644.252588
10000,0.66,34,0.0,10620472333.947752
10000,0.67,34,0.0,13028428221.457813
10000,0.68,27,0.0,12308970794.208544
10000,0.69,39,0.0,11923971832.321781
10000,0.7,30,0.0,13737115644.494003
10000,0.71,28,0.0,11430573343.687922
10000,0.72,31,0.0,12865293403.672968
10000,0.73,32,0.0,12647176171.973549
10000,0.74,29,0.0,12986977993.66279
10000,0.75,25,0.0,14777473795.062634
10000,0.76,29,0.0,14335239268.921957
10000,0.77,34,0.0,15239481533.379847
10000,0.78,32,0.0,15121566565.323896
10000,0.79,30,0.0,16112537799.508575
10000,0.8,26,0.0,15060126929.213938
10000,0.81,38,0.0,13494880813.167112
10000,0.82,33,0.0,15123089010.090902
10000,0.83,31,0.0,15497976225.18821
10000,0.84,29,0.0,15237950660.67385
10000,0.85,29,0.0,15591962794.604578
10000,0.86,27,0.0,15262268851.5497
10000,0.87,27,0.0,15881138670.20217
10000,0.88,37,0.0,15630593892.58626
10000,0.89,38,0.0,16283560216.952532
10000,0.9,42,0.0,16734582659.078278
10000,0.91,29,0.0,16678107925.518215
10000,0.92,40,0.0,16726915137.030373
10000,0.93,38,0.0,17148101682.693598
10000,0.94,37,0.0,15786025549.085718
10000,0.95,45,0.0,16959217085.167768
10000,0.96,36,0.0,17847383468.314037
10000,0.97,46,0.0,17846311714.78202
10000,0.98,40,0.0,17998121201.491413
10000,0.99,30,0.0,17497484877.059795
10000,1,38,0.0,17627839416.695126
