retain,num_generations,min fitness,avg fitness
0.02,10000,1,1.0
0.04,597,0,0.87
0.06,206,0,41.17
0.08,858,0,0.96
0.1,4281,0,0.94
0.12,296,0,0.91
0.14,138,0,1.92
0.16,1807,0,7.0
0.18,276,0,0.94
0.2,70,0,3.96
0.22,708,0,0.97
0.24,188,0,0.99
0.26,610,0,0.96
0.28,293,0,3.22
0.3,486,0,1.92
0.32,130,0,0.98
0.34,177,0,0.98
0.36,1380,0,0.97
0.38,276,0,2.2
0.4,42,0,3.92
0.42,753,0,0.99
0.44,277,0,0.97
0.46,384,0,2.19
0.48,165,0,0.98
0.5,122,0,0.99
0.52,7,0,62.75
0.54,1462,0,2.52
0.56,122,0,1.39
0.58,404,0,1.04
0.6,37,0,7.76
0.62,223,0,0.99
0.64,31,0,13.48
0.66,180,0,1.98
0.68,69,0,2.97
0.7,447,0,1.0
0.72,53,0,7.67
0.74,157,0,0.99
0.76,65,0,4.23
0.78,27,0,25.86
0.8,315,0,0.98
0.82,61,0,8.39
0.84,123,0,28.89
0.86,241,0,0.99
0.88,217,0,1.16
0.9,223,0,1.8
0.92,93,0,4.18
0.94,222,0,4.04
0.96,185,0,14.87
